L0,L1,L1_L3_count,Representative_L2,Representative_L2_L3_count,Representative_L3_examples
Policy,AI policy and governance,475,"AI, rights, and biometrics",63,Autonomous agents; Behavioural manipulation; Biometric categorisation; Biometric identification; Civil liberties
Science,AI science and research,874,"Optimization, inference, and evaluation methods",71,A* search algorithm; Bayesian inference; Bayesian network; Convergence; Deterministic Algorithm
Technology,AI technology and invention,589,Machine learning and model training techniques,90,Active learning; Adapter tuning; AutoML; Backpropagation; Boosting
